"subscriptionId","location","resourceGroup","resource","status","summary","reason","occuredTime","reportedTime"
"c93020ea-c4db-48ab-a06f-058949354bab","eastus","dev-mgmt-rg","goldsafekeyvault","Available","There aren't any known Azure platform problems affecting this key vault.","","3/29/2022 10:30:10 PM","3/30/2022 1:29:14 AM"
"c93020ea-c4db-48ab-a06f-058949354bab","eastus","dev-mgmt-rg","golditllcdevopsmgmt","Available","There aren't any known Azure platform problems affecting this storage account.","","3/6/2022 3:08:08 AM","3/30/2022 1:29:14 AM"
"c93020ea-c4db-48ab-a06f-058949354bab","eastus","Self-Hosted-Agent-Rg","self-host-vm","Unavailable","This virtual machine is stopped and deallocated as requested by an authorized user or process.","Customer Initiated","3/30/2022 1:29:15 AM","3/30/2022 1:29:15 AM"
"c93020ea-c4db-48ab-a06f-058949354bab","eastus","defaultresourcegroup-eus","defaultworkspace-c93020ea-c4db-48ab-a06f-058949354bab-eus","Unknown","We are currently unable to determine the health of this workspace.","","3/30/2022 1:29:18 AM","3/30/2022 1:29:18 AM"
"c93020ea-c4db-48ab-a06f-058949354bab","eastus","Test-app-rg","ASP-Testapprg-863b","Unknown","Resource health status is not available for Free, Shared, Consumption or Isolated App Service plan. To enable health status, consider upgrading to a Basic, Standard, or Premium App Service plan.","","3/30/2022 1:29:18 AM","3/30/2022 1:29:18 AM"
"c93020ea-c4db-48ab-a06f-058949354bab","eastus","test-app-rg","goldapp","Unknown","We are currently unable to determine the health of your Web app.","","3/30/2022 1:29:19 AM","3/30/2022 1:29:19 AM"
"b6a42ea7-3664-4dbe-88aa-358704bb5f18","eastus","tesg-gold","tagsrrgggsgsgsgsdddd","Available","There aren't any known Azure platform problems affecting this storage account.","","3/25/2022 2:15:16 AM","3/30/2022 1:29:21 AM"
"79b242e9-e48e-463a-8406-b86754a023df","eastus","defaultresourcegroup-eus","defaultworkspace-79b242e9-e48e-463a-8406-b86754a023df-eus","Unknown","We are currently unable to determine the health of this workspace.","","3/30/2022 1:29:25 AM","3/30/2022 1:29:25 AM"
